subject,eer_scaled_manhattan,eer_nearest_neighbor_mahalanobis,eer_manhattan,eer_euclidean
s002,0.24,0.25,0.24,0.26
s003,0.14,0.20999999999999996,0.192,0.188
s004,0.08,0.07499999999999996,0.144,0.18999999999999995
s005,0.044,0.06000000000000005,0.092,0.116
s007,0.112,0.07499999999999996,0.08999999999999997,0.072
s008,0.06499999999999995,0.052,0.108,0.10999999999999999
s010,0.025000000000000022,0.050000000000000044,0.024,0.04
s011,0.072,0.08499999999999996,0.08499999999999996,0.08
s012,0.02,0.07499999999999996,0.08,0.12
s013,0.072,0.07999999999999996,0.104,0.14500000000000002
s015,0.108,0.104,0.18500000000000005,0.19999999999999996
s016,0.18,0.14,0.296,0.27
s017,0.030000000000000027,0.030000000000000027,0.06000000000000005,0.084
s018,0.125,0.116,0.17000000000000004,0.176
s019,0.04500000000000004,0.06999999999999995,0.07499999999999996,0.07499999999999996
s020,0.14,0.132,0.256,0.204
s021,0.116,0.10499999999999998,0.13,0.15500000000000003
s022,0.030000000000000027,0.025000000000000022,0.21999999999999997,0.416
s024,0.052,0.03500000000000003,0.14500000000000002,0.196
s025,0.076,0.104,0.112,0.16
s026,0.04500000000000004,0.052,0.112,0.135
s027,0.06999999999999995,0.06499999999999995,0.164,0.18
s028,0.06,0.030000000000000027,0.135,0.18500000000000005
s029,0.072,0.06999999999999995,0.09499999999999997,0.12
s030,0.07999999999999996,0.17000000000000004,0.14,0.17000000000000004
s031,0.275,0.224,0.31499999999999995,0.312
s032,0.272,0.28,0.232,0.2
s033,0.108,0.13,0.268,0.336
s034,0.14500000000000002,0.17000000000000004,0.228,0.245
s035,0.19499999999999995,0.112,0.248,0.232
s036,0.010000000000000009,0.010000000000000009,0.036,0.056
s037,0.10999999999999999,0.1,0.14500000000000002,0.17000000000000004
s038,0.08999999999999997,0.10999999999999999,0.13,0.15000000000000002
s039,0.08499999999999996,0.07499999999999996,0.14,0.15000000000000002
s040,0.156,0.192,0.348,0.405
s041,0.09999999999999998,0.125,0.17000000000000004,0.188
s042,0.04500000000000004,0.06499999999999995,0.05500000000000005,0.07999999999999996
s043,0.015000000000000013,0.015000000000000013,0.08499999999999996,0.14500000000000002
s044,0.07499999999999996,0.07999999999999996,0.132,0.16500000000000004
s046,0.144,0.135,0.188,0.15000000000000002
s047,0.32499999999999996,0.265,0.332,0.28
s048,0.06499999999999995,0.06000000000000005,0.096,0.12
s049,0.064,0.09499999999999997,0.48,0.484
s050,0.10999999999999999,0.1,0.164,0.184
s051,0.096,0.112,0.1,0.088
s052,0.016,0.015000000000000013,0.04500000000000004,0.06999999999999995
s053,0.028,0.028,0.056,0.10499999999999998
s054,0.068,0.09499999999999997,0.09999999999999998,0.09499999999999997
s055,0.015000000000000013,0.024,0.012,0.02
s056,0.08,0.12,0.112,0.125
s057,0.11499999999999999,0.08499999999999996,0.128,0.1
